,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,429.94,439.91,449.75,459.3,468.44,477.09,485.24,493.12,500.79,508.28,515.47,522.26,528.94,535.17,540.91,545.82,547.59,552.18,556.39,560.3,563.86
1,439.91,449.81,459.65,469.2,478.34,486.98,495.12,502.79,510.28,517.47,524.26,530.94,537.17,542.91,547.82,552.01,554.18,558.39,562.3,565.86,569.13
2,449.81,459.65,469.21,478.76,487.89,496.52,504.64,512.28,519.47,526.26,532.94,539.17,544.91,549.82,554.01,557.58,560.39,564.3,567.86,571.13,574.17
3,459.38,469.21,478.76,487.89,496.87,505.46,513.54,521.13,528.26,534.94,541.17,546.91,551.82,556.01,559.58,562.59,566.3,569.86,573.13,576.17,578.99
4,468.39,478.23,487.76,496.87,505.47,513.73,521.74,529.24,536.26,542.82,548.91,553.82,558.01,561.58,564.59,568.3,571.86,575.13,578.17,580.99,583.55
5,476.77,486.6,496.12,505.19,513.73,521.74,529.25,536.63,543.52,549.92,555.82,560.01,563.58,566.59,570.3,573.86,577.13,580.17,582.99,585.55,587.83
6,484.6,494.34,503.84,512.86,521.34,529.25,536.63,543.52,550.13,556.33,562.01,565.58,568.59,571.79,575.46,578.79,581.88,584.75,587.41,589.83,591.93
7,492.34,501.84,511.01,519.98,528.37,536.17,543.41,550.13,556.33,562.16,567.58,570.59,573.05,576.54,579.95,583.07,585.96,588.66,591.16,593.42,595.37
8,499.84,509.01,517.98,526.62,534.9,542.57,549.65,556.18,562.16,567.58,572.59,575.05,577.16,580.69,583.85,586.75,589.46,591.98,594.31,596.4,598.19
9,507.01,515.98,524.62,532.9,541.0,548.51,555.4,561.71,567.44,572.59,577.05,578.96,581.01,584.27,587.19,589.88,592.4,594.74,596.89,598.8,600.42
10,513.98,522.62,530.9,539.0,546.69,554.01,560.68,566.74,572.2,577.05,580.96,581.01,584.3,587.29,589.98,592.47,594.79,596.95,598.92,600.66,602.1
11,520.62,528.9,537.0,544.69,552.01,559.09,565.51,571.28,576.43,580.96,580.89,584.3,587.29,589.98,592.47,594.79,596.95,598.92,600.66,602.1,599.29
12,526.9,535.0,542.69,550.01,557.09,563.51,569.28,574.43,578.96,580.35,583.27,585.29,587.98,590.47,592.79,594.95,596.92,598.66,600.1,599.29,600.1
13,533.0,540.69,548.01,555.09,561.51,567.28,572.43,576.96,579.38,583.27,585.8,586.04,588.47,590.79,592.95,594.92,596.66,598.1,598.96,600.1,600.68
14,538.69,546.01,553.09,559.51,565.28,570.43,574.96,578.01,582.21,585.8,588.05,588.06,589.65,591.65,593.51,595.26,596.9,598.37,599.65,600.68,601.16
15,543.99,551.09,557.51,563.28,568.43,572.96,576.19,580.75,584.69,588.05,590.06,589.89,591.21,593.0,594.66,596.23,597.7,599.04,600.21,601.16,601.6
16,544.87,551.73,557.91,563.74,569.17,574.19,578.85,583.18,586.91,590.06,591.89,591.53,592.64,594.23,595.71,597.11,598.44,599.66,600.72,601.6,602.05
17,549.32,555.91,561.74,567.17,572.19,576.85,581.21,585.35,588.91,591.89,593.53,592.95,593.96,595.38,596.7,597.95,599.15,600.25,601.23,602.05,602.48
18,553.32,559.64,565.17,570.19,574.85,579.21,583.35,587.29,590.69,593.53,594.95,594.12,595.16,596.44,597.61,598.74,599.82,600.82,601.73,602.48,602.88
19,556.86,562.93,568.19,572.85,577.21,581.35,585.29,588.98,592.24,594.95,596.12,595.0,596.2,597.36,598.42,599.44,600.42,601.35,602.18,602.88,603.23
20,559.98,565.82,570.85,575.21,579.35,583.29,586.98,590.38,593.52,596.12,597.0,595.78,597.04,598.11,599.09,600.02,600.93,601.79,602.57,603.23,603.49
